lemma;total_count;count_low;count_high;share_low;share_high
вкусн;20519;881;19638;0.04293581558555485;0.9570641844144452
мест;9457;692;8765;0.07317331077508724;0.9268266892249127
блюд;7575;1121;6454;0.147986798679868;0.852013201320132
ед;6965;991;5974;0.14228284278535536;0.8577171572146447
заведен;6790;1279;5511;0.18836524300441826;0.8116347569955817
персона;6594;354;6240;0.05368516833484986;0.9463148316651502
приятн;6502;156;6346;0.023992617656105813;0.9760073823438942
кухн;6228;550;5678;0.08831085420680797;0.911689145793192
отличн;5739;69;5670;0.012023000522739153;0.9879769994772608
хорош;5517;310;5207;0.056189958310676094;0.9438100416893239
обслуживан;5470;622;4848;0.11371115173674588;0.8862888482632542
понрав;4921;281;4640;0.05710221499695184;0.9428977850030481
официант;4816;1024;3792;0.21262458471760798;0.7873754152823921
уютн;4297;56;4241;0.013032348149872005;0.986967651850128
атмосфер;4062;99;3963;0.024372230428360415;0.9756277695716395
рестора;4046;466;3580;0.11517548195748888;0.8848245180425112
мен;3904;636;3268;0.16290983606557377;0.8370901639344263
рекоменд;3856;231;3625;0.05990663900414938;0.9400933609958506
цен;3756;434;3322;0.11554845580404687;0.8844515441959532
быстр;3392;110;3282;0.03242924528301887;0.9675707547169812
вежлив;3298;80;3218;0.02425712553062462;0.9757428744693754
интерьер;3229;259;2970;0.08021059151440074;0.9197894084855992
красив;3190;170;3020;0.05329153605015674;0.9467084639498433
больш;2954;221;2733;0.07481381178063642;0.9251861882193636
сам;2854;606;2248;0.212333566923616;0.7876664330763841
спасиб;2736;80;2656;0.029239766081871343;0.9707602339181286
прекрасн;2555;51;2504;0.019960861056751468;0.9800391389432486
каф;2514;292;2222;0.11614956245027844;0.8838504375497216
казан;2501;148;2353;0.05917632946821272;0.9408236705317873
котор;2156;702;1454;0.32560296846011133;0.6743970315398887
всем;2041;114;1927;0.05585497305242528;0.9441450269475747
вкус;1874;370;1504;0.19743863393810032;0.8025613660618997
музык;1859;129;1730;0.06939214631522324;0.9306078536847767
подач;1856;127;1729;0.06842672413793104;0.931573275862069
так;1818;632;1186;0.34763476347634764;0.6523652365236524
нам;1795;614;1181;0.34206128133704733;0.6579387186629526
совет;1791;229;1562;0.12786152987158012;0.8721384701284198
приветлив;1726;34;1692;0.019698725376593278;0.9803012746234068
сюд;1655;227;1428;0.13716012084592144;0.8628398791540786
готов;1646;295;1351;0.17922235722964763;0.8207776427703524
салат;1638;451;1187;0.27533577533577536;0.7246642246642246
обязательн;1616;23;1593;0.014232673267326733;0.9857673267326733
порц;1597;181;1416;0.11333750782717596;0.886662492172824
выбор;1593;63;1530;0.03954802259887006;0.96045197740113
ча;1554;276;1278;0.1776061776061776;0.8223938223938224
зал;1546;315;1231;0.203751617076326;0.796248382923674
интересн;1536;94;1442;0.061197916666666664;0.9388020833333334
особен;1522;67;1455;0.04402102496714849;0.9559789750328516
сво;1495;324;1171;0.21672240802675585;0.7832775919732441
уровн;1488;88;1400;0.05913978494623656;0.9408602150537635
классн;1438;39;1399;0.027121001390820583;0.9728789986091794
стол;1438;616;822;0.4283727399165508;0.5716272600834492
отдельн;1434;103;1331;0.07182705718270571;0.9281729428172942
дан;1419;414;1005;0.2917547568710359;0.7082452431289641
посет;1409;128;1281;0.0908445706174592;0.9091554293825408
чист;1380;51;1329;0.03695652173913044;0.9630434782608696
заказа;1372;637;735;0.4642857142857143;0.5357142857142857
вечер;1362;217;1145;0.1593245227606461;0.8406754772393539
заказ;1349;694;655;0.514455151964418;0.4855448480355819
врем;1341;303;1038;0.22595078299776286;0.7740492170022372
перв;1335;312;1023;0.23370786516853934;0.7662921348314606
десерт;1330;158;1172;0.11879699248120301;0.881203007518797
одн;1307;409;898;0.31293037490436115;0.6870696250956388
лучш;1272;118;1154;0.09276729559748427;0.9072327044025157
ресторан;1260;219;1041;0.1738095238095238;0.8261904761904761
оста;1249;192;1057;0.15372297838270615;0.8462770216172938
гост;1236;367;869;0.29692556634304207;0.7030744336569579
попробова;1230;102;1128;0.08292682926829269;0.9170731707317074
сервис;1228;219;1009;0.1783387622149837;0.8216612377850163
ден;1212;234;978;0.19306930693069307;0.806930693069307
качеств;1198;279;919;0.2328881469115192;0.7671118530884808
напитк;1197;206;991;0.1720969089390142;0.8279030910609858
посещен;1192;124;1068;0.1040268456375839;0.8959731543624161
внимательн;1181;23;1158;0.01947502116850127;0.9805249788314987
супер;1179;41;1138;0.03477523324851569;0.9652247667514843
наш;1166;252;914;0.21612349914236706;0.7838765008576329
минут;1150;755;395;0.6565217391304348;0.34347826086956523
атмосферн;1139;14;1125;0.012291483757682178;0.9877085162423178
кажд;1128;117;1011;0.10372340425531915;0.8962765957446809
принесл;1110;651;459;0.5864864864864865;0.4135135135135135
сказа;1105;617;488;0.5583710407239819;0.4416289592760181
завтрак;1098;112;986;0.10200364298724955;0.8979963570127505
хот;1097;455;642;0.41476754785779396;0.585232452142206
довольн;1089;50;1039;0.04591368227731864;0.9540863177226814
удобн;1082;39;1043;0.036044362292051754;0.9639556377079482
замечательн;1074;14;1060;0.01303538175046555;0.9869646182495344
пришл;1061;514;547;0.48444863336475025;0.5155513666352498
город;1060;94;966;0.08867924528301886;0.9113207547169812
друг;1053;389;664;0.3694207027540361;0.630579297245964
друз;1033;78;955;0.0755082284607938;0.9244917715392061
столик;1027;266;761;0.2590068159688413;0.7409931840311588
вид;1004;215;789;0.21414342629482072;0.7858565737051793
обстановк;986;34;952;0.034482758620689655;0.9655172413793104
приход;967;218;749;0.22543950361944157;0.7745604963805585
татарск;956;43;913;0.04497907949790795;0.9550209205020921
мяс;956;267;689;0.2792887029288703;0.7207112970711297
верн;949;69;880;0.07270811380400422;0.9272918861959958
суп;930;234;696;0.25161290322580643;0.7483870967741936
хочет;922;88;834;0.09544468546637744;0.9045553145336226
пицц;907;163;744;0.17971334068357223;0.8202866593164277
долг;898;426;472;0.47438752783964366;0.5256124721603563
коф;895;164;731;0.18324022346368715;0.8167597765363128
сдела;892;274;618;0.3071748878923767;0.6928251121076233
детск;889;74;815;0.08323959505061868;0.9167604049493814
высш;877;8;869;0.009122006841505131;0.9908779931584949
цел;875;141;734;0.16114285714285714;0.8388571428571429
сто;869;259;610;0.29804372842347526;0.7019562715765247
прид;857;93;764;0.10851808634772463;0.8914819136522754
разнообразн;836;5;831;0.005980861244019139;0.9940191387559809
впечатлен;833;210;623;0.25210084033613445;0.7478991596638656
девушк;833;219;614;0.26290516206482595;0.737094837935174
заказыва;813;237;576;0.2915129151291513;0.7084870848708487
национальн;811;28;783;0.0345252774352651;0.9654747225647349
хотел;805;219;586;0.2720496894409938;0.7279503105590062
коктейл;780;134;646;0.1717948717948718;0.8282051282051283
люб;780;70;710;0.08974358974358974;0.9102564102564102
работа;778;219;559;0.2814910025706941;0.718508997429306
высот;771;4;767;0.005188067444876783;0.9948119325551232
ход;758;159;599;0.20976253298153033;0.7902374670184696
восторг;753;20;733;0.02656042496679947;0.9734395750332006
однозначн;745;34;711;0.04563758389261745;0.9543624161073826
буд;742;88;654;0.11859838274932614;0.8814016172506739
свеж;741;60;681;0.08097165991902834;0.9190283400809717
огромн;738;59;679;0.07994579945799458;0.9200542005420054
компан;729;100;629;0.13717421124828533;0.8628257887517147
сем;727;61;666;0.08390646492434663;0.9160935350756534
дет;724;88;636;0.12154696132596685;0.8784530386740331
шикарн;722;11;711;0.015235457063711912;0.9847645429362881
час;720;474;246;0.6583333333333333;0.3416666666666667
втор;718;213;505;0.2966573816155989;0.7033426183844012
нрав;712;45;667;0.06320224719101124;0.9367977528089888
част;710;107;603;0.15070422535211267;0.8492957746478873
калья;708;62;646;0.08757062146892655;0.9124293785310734
рожден;683;98;585;0.14348462664714495;0.8565153733528551
общ;679;192;487;0.28276877761413843;0.7172312223858616
средн;676;93;583;0.13757396449704143;0.8624260355029586
соус;671;205;466;0.3055141579731744;0.6944858420268256
любим;670;31;639;0.04626865671641791;0.9537313432835821
доброжелательн;667;9;658;0.013493253373313344;0.9865067466266867
повар;666;136;530;0.2042042042042042;0.7957957957957958
человек;663;224;439;0.3378582202111614;0.6621417797888386
мо;663;152;511;0.22926093514328807;0.770739064856712
мил;656;24;632;0.036585365853658534;0.9634146341463414
снов;652;39;613;0.0598159509202454;0.9401840490797546
отмет;646;48;598;0.07430340557275542;0.9256965944272446
зашл;642;118;524;0.1838006230529595;0.8161993769470405
брал;639;96;543;0.15023474178403756;0.8497652582159625
плюс;635;187;448;0.29448818897637796;0.705511811023622
минус;634;102;532;0.1608832807570978;0.8391167192429022
официантк;632;132;500;0.2088607594936709;0.7911392405063291
сытн;616;13;603;0.021103896103896104;0.9788961038961039
отзывчив;614;10;604;0.016286644951140065;0.9837133550488599
крут;613;26;587;0.04241435562805873;0.9575856443719413
комнат;604;60;544;0.09933774834437085;0.9006622516556292
центр;604;38;566;0.06291390728476821;0.9370860927152318
маленьк;601;181;420;0.3011647254575707;0.6988352745424293
ожидан;600;236;364;0.3933333333333333;0.6066666666666667
обслужива;600;93;507;0.155;0.845
нужн;599;197;402;0.328881469115192;0.671118530884808
итог;580;410;170;0.7068965517241379;0.29310344827586204
достаточн;579;59;520;0.10189982728842832;0.8981001727115717
вход;577;166;411;0.2876949740034662;0.7123050259965338
ваш;577;158;419;0.2738301559792028;0.7261698440207972
сотрудник;575;117;458;0.20347826086956522;0.7965217391304348
горяч;574;154;420;0.2682926829268293;0.7317073170731707
реш;573;199;374;0.3472949389179756;0.6527050610820244
спокойн;572;31;541;0.05419580419580419;0.9458041958041958
полн;569;182;387;0.31985940246045697;0.680140597539543
люд;568;198;370;0.3485915492957746;0.6514084507042254
жив;567;28;539;0.04938271604938271;0.9506172839506173
пив;567;94;473;0.1657848324514991;0.8342151675485009
неплох;563;98;465;0.17406749555950266;0.8259325044404974
небольш;562;39;523;0.0693950177935943;0.9306049822064056
обед;560;85;475;0.15178571428571427;0.8482142857142857
необычн;555;10;545;0.018018018018018018;0.9819819819819819
высок;553;89;464;0.1609403254972875;0.8390596745027125
выш;552;52;500;0.09420289855072464;0.9057971014492754
рад;546;49;497;0.08974358974358974;0.9102564102564102
администратор;543;259;284;0.47697974217311234;0.5230202578268877
пода;542;153;389;0.2822878228782288;0.7177121771217713
идеальн;542;5;537;0.00922509225092251;0.9907749077490775
великолепн;540;5;535;0.009259259259259259;0.9907407407407407
главн;537;31;506;0.05772811918063315;0.9422718808193669
оказа;536;209;327;0.38992537313432835;0.6100746268656716
ужасн;536;503;33;0.9384328358208955;0.061567164179104475
утк;532;41;491;0.07706766917293233;0.9229323308270677
дор;528;112;416;0.21212121212121213;0.7878787878787878
вин;526;88;438;0.16730038022813687;0.8326996197718631
пробова;525;43;482;0.08190476190476191;0.9180952380952381
дела;524;171;353;0.32633587786259544;0.6736641221374046
добр;522;43;479;0.08237547892720307;0.9176245210727969
нескольк;522;106;416;0.20306513409961685;0.7969348659003831
немн;518;48;470;0.09266409266409266;0.9073359073359073
ждал;518;351;167;0.6776061776061776;0.3223938223938224
единствен;517;107;410;0.20696324951644102;0.793036750483559
работ;517;111;406;0.21470019342359767;0.7852998065764023
получ;514;178;336;0.3463035019455253;0.6536964980544747
нов;513;66;447;0.1286549707602339;0.8713450292397661
сраз;512;135;377;0.263671875;0.736328125
внутр;512;74;438;0.14453125;0.85546875
разн;511;69;442;0.1350293542074364;0.8649706457925636
приемлем;511;16;495;0.03131115459882583;0.9686888454011742
прям;509;95;414;0.18664047151277013;0.8133595284872298
ряд;508;89;419;0.17519685039370078;0.8248031496062992
тепл;506;67;439;0.1324110671936759;0.8675889328063241
качествен;504;21;483;0.041666666666666664;0.9583333333333334
веранд;501;69;432;0.1377245508982036;0.8622754491017964
вопрос;499;221;278;0.44288577154308617;0.5571142284569138
обычн;495;178;317;0.3595959595959596;0.6404040404040404
караок;481;66;415;0.13721413721413722;0.8627858627858628
паст;480;143;337;0.29791666666666666;0.7020833333333333
комфортн;479;8;471;0.016701461377870562;0.9832985386221295
открыт;475;56;419;0.11789473684210526;0.8821052631578947
быва;473;53;420;0.11205073995771671;0.8879492600422833
раз;472;179;293;0.3792372881355932;0.6207627118644068
расположен;468;26;442;0.05555555555555555;0.9444444444444444
поест;465;87;378;0.1870967741935484;0.8129032258064516
достойн;463;31;432;0.06695464362850972;0.9330453563714903
стильн;456;10;446;0.021929824561403508;0.9780701754385965
покуша;455;55;400;0.12087912087912088;0.8791208791208791
имен;455;79;376;0.17362637362637362;0.8263736263736263
бизнес;453;62;391;0.1368653421633554;0.8631346578366446
невероятн;451;12;439;0.026607538802660754;0.9733924611973392
