season;lemma_final;cnt_total
autumn;аа;1
autumn;аааа;1
autumn;абалден;1
autumn;абик;1
autumn;абсолютн;68
autumn;авал;1
autumn;аванс;5
autumn;аварийн;1
autumn;август;17
autumn;авелин;1
autumn;авиастр;3
autumn;авиастроительн;16
autumn;авик;1
autumn;авиостроительн;1
autumn;авит;1
autumn;авокад;17
autumn;австрийск;1
autumn;авт;1
autumn;автобус;2
autumn;автомат;5
autumn;автоматическ;1
autumn;автомоб;1
autumn;автомобил;2
autumn;автопарковк;1
autumn;авторитет;2
autumn;авторск;56
autumn;автосалон;1
autumn;автостоянк;2
autumn;авыл;2
autumn;авылд;1
autumn;агеев;1
autumn;агилер;1
autumn;агресс;1
autumn;агрессивн;3
autumn;ад;1
autumn;адаптирова;8
autumn;адекватн;92
autumn;адел;2
autumn;аделин;1
autumn;аджарск;6
autumn;аджахур;1
autumn;аджик;2
autumn;адил;1
autumn;админ;31
autumn;администратор;127
autumn;администраторш;1
autumn;администрац;18
autumn;адоратск;3
autumn;адрес;16
autumn;адресова;1
autumn;адск;1
autumn;адыг;1
autumn;адыгейск;2
autumn;адыкватн;1
autumn;аежлив;1
autumn;аельсин;1
autumn;ажгар;1
autumn;ажин;1
autumn;ажиотаж;4
autumn;аз;47
autumn;азал;7
autumn;азарт;1
autumn;азартн;1
autumn;азербайджанск;6
autumn;азербайджанц;1
autumn;азиат;1
autumn;азиатск;31
autumn;азиз;1
autumn;айболек;1
autumn;айвар;2
autumn;айгул;2
autumn;айдол;4
autumn;айдоламм;1
autumn;айзил;3
autumn;айленд;3
autumn;айназ;1
autumn;айол;1
autumn;айс;7
autumn;айсберг;2
autumn;айсыл;2
autumn;академик;1
autumn;аквариум;7
autumn;акимб;1
autumn;аккаунт;1
autumn;аккуратн;53
autumn;аккустик;1
autumn;акрошк;1
autumn;аксессуар;1
autumn;акташ;1
autumn;активн;7
autumn;актуал;1
autumn;актуалтн;1
autumn;актуальн;12
autumn;акустик;3
